uid,school_education,graduation_1,graduation_2,graduation_3,graduation_4,graduation_5,graduation_6,graduation_7
18018,1988,,,,,,,
68739,2003,,,,,2008,,
1131,,,,,,,,
1107,,,,,,,,
893,,,,,,,,
64026,2006,,,,,,,
72845,2025,,,,,,,
1109,,,,,,,,
416,,,,,,2010,,
849,,,,,,,,
954,,,,,,,,
993,,,,,,,,
921,,,,,,,,
1087,,,,,,,,
983,,,,,,,,
51855,2008,,,,,,,
629,,,,,,,,
107367,1980,,,,,,,
687,,,,,,,,
598,,,,,,,,
49363,2018,,,,,,,
1147,,,,,,,,
82494,1980,,,,,,,
63473,2008,,,,,,,
872,,,,,,,,
905,,,,,,,,
780,,,,,,,,
798,,,,,,,,
1062,,,,,,,,
40805,,,,2021,,,,
64746,2004,,,,,,,
791,,,,,,,,
652,,,,,,,,
105863,2024,,,,,,,
878,,,,,,,,
981,,,,,,,,
65806,2001,,,,,2006,,
1146,,,,,,,,
1030,,,,,,,,
1069,,,,,,,,
63611,2010,,2015,,,,,
41811,2011,,,,,,,
656,,,,,,,,
39112,2020,,,,,,,
13423,,,,2017,,,,
86518,1999,,,,,,,
1086,,,,,,,,
613,,,,,,,,
842,,,,,,,,
835,,,,,,,,
805,,,,,,,,
729,,,,,,,,
1060,,,,,,,,
606,,,,,,,,
745,,,,,,,,
11398,2012,,,,,,,
760,,,,,,,,
781,,,,,,,,
102611,1988,,,,,,,
889,,,,,,,,
1103,,,,,,,,
61157,1973,,,,,,,
814,,,,,,,,
10070,1999,,,,,2005,,
667,,,,,,,,
101211,2002,,,,,,,
708,,,,,,,,
726,,,,,,,,
618,,,,,,,,
1119,,,,,,,,
801,,,,,,,,
830,,,,,,,,
707,,,,,,,,
1048,,,,,,,,
72967,1999,,,,,2007,,
13082,1982,,,,,1990,,
923,,,,,,,,
1028,,,,,,,,
943,,,,,,,,
12405,1986,,,,,,,
66440,1969,,,,,,,
41893,1991,,,,,1996,,
750,,,,,,,,
751,,,,,,,,
76450,2001,,,,,2007,,
1159,,,,,,,,
16428,2008,,,,,,,
37671,2008,,2011,,,,,
119874,1987,,,,,,,
694,,,,,,,,
660,,,,,,,,
963,,,,,,,,
1083,,,,,,,,
1122,,,,,,,,
773,,,,,,,,
825,,,,,,,,
709,,,,,,,,
640,,,,,,,,
748,,,,,,,,
945,,,,,,,,
861,,,,,,,,
585,,,,,,,,
657,,,,,,,,
845,,,,,,,,
50315,2001,,,,,2008,,
675,,,,,,,,
1094,,,,,,,,
918,,,,,,,,
1167,,,,,,,,
596,,,,,,,,
661,,,,,,,,
1002,,,,,,,,
886,,,,,,,,
48554,1996,,,,,,,
927,,,,,,,,
1011,,,,,,,,
838,,,,,,,,
643,,,,,,,,
11091,2007,,,,,,,
1132,,,,,,,,
966,,,,,,,,
1000,,,,,,,,
863,,,,,,,,
107136,2000,,,,,,2005,
884,,,,,,,,
109263,1988,,,,,,2014,
1080,,,,,,,,
1054,,,,,,,,
924,,,,,,,,
991,,,,,,,,
13363,2007,,,,,,2011,
106048,2009,,,,,,,
47444,2004,,,,,2009,,
1104,,,,,,,,
698,,,,,,,,
68475,,,,,,2001,,
626,,,,,,,,
735,,,,,,,,
725,,,,,,,,
732,,,,,,,,
79511,2017,,,,,,,
97715,2005,,,,,,,
103047,2018,,,,,,,
1371,,,,,,,,
80372,2010,,,,,,,
1267,,,,,,,,
1573,,,,,,,,
106235,2005,,2010,,,,,
1501,,,,,,,,
40071,1983,,,,,1988,,
1347,,,,,,,,
76569,2002,,,,,,,
1751,,,,,,,,
43944,2003,,,,,,2014,
12026,1995,,,,,,,
1585,,,,,,,,
1747,,,,,,,,
1275,,,,,,,,
1677,,,,,,,,
1673,,,,,,,,
52449,1988,,,,,,,
1704,,,,,,,,
1483,,,,,,,,
1782,,,,,,,,
1457,,,,,,,,
7006,1999,,,,,,,
96526,1990,,,,,,,
46989,1994,,,,,,,
99618,1987,,,,,,,
13476,1998,,,,,,,
58972,2018,,,,,,,
1273,,,,,,,,
1359,,,,,,,,
1199,,,,,,,,
1293,,,,,,,,
1257,,,,,,,,
1315,,,,,,,,
1506,,,,,,,,
1354,,,,,,,,
1186,,,,,,,,
61631,1975,,,,,1981,,
1396,,,,,,,,
97521,1994,,,,,,,
1207,,,,,,,,
1561,,,,,,,,
1771,,,,,,,,
1191,,,,,,,,
86370,1981,,,,,,,
1550,,,,,,,,
1699,,,,,,,,
1216,,,,,,,,
1448,,,,,,,,
34269,2024,,,,,,,
1454,,,,,,,,
1537,,,,,,,,
1584,,,,,,,,
1496,,,,,,,,
54396,2002,,,,,,,
1621,,,,,,,,
83318,2007,,,,,,,
62471,2000,,,,,,,
48148,2010,,,,,,,
1625,,,,,,,,
1201,,,,,,,,
24550,2005,,,,,,2009,
22454,2020,,,,,,,
1469,,,,,,,,
1517,,,,,,,,
1369,,,,,,,,
115472,1994,,,,,,,
1597,,,,,,,,
1466,,,,,,,,
1577,,,,,,,,
1249,,,,,,,,
1586,,,,,,,,
113446,2003,,,,,,,
94037,2021,,,,,,,
1724,,,,,,,,
96316,1991,,,,,,,
1314,,,,,,,,
1587,,,,,,,,
1473,,,,,,,,
1181,,,,,,,,
58695,,,,,,2012,,
1176,,,,,,,,
40275,2009,,,,,,2016,
1179,,,,,,,,
1222,,,,,,,,
1351,,,,,,,,
1276,,,,,,,,
1529,,,,,,,,
1543,,,,,,,,
710,2004,,,,,,,
86610,2001,,,,,,,
1791,,,,,,,,
1333,,,,,,,,
41318,1990,,,,,,,
1770,,,,,,,,
1498,,,,,,,,
1767,,,,,,,,
1420,,,,,,,,
1542,,,,,,,,
1209,,,,,,,,
30895,1980,,,,,,,
1652,,,,,,,,
997,,,,,,2008,,
1686,,,,,,,,
1764,,,,,,,,
68401,2004,,,,,2009,2017,
1603,,,,,,,,
40000,1998,,,,,2004,,
1413,,,,,,,,
1500,,,,,,,,
5649,2003,,,,,,,
1612,,,,,,,,
1502,,,,,,,,
1642,,,,,,,,
1787,,,,,,,,
1669,,,,,,,,
1429,,,,,,,,
1177,,,,,,,,
1178,,,,,,,,
1290,,,,,,,,
21448,,,,,,2007,,
1610,,,,,,,,
11544,2019,,,,,,,
25006,2023,,,,,,,
1572,,,,,,,,
1255,,,,,,,,
20712,2007,,,,,2012,,
1508,,,,,,,,
1426,,,,,,,,
1781,,,,,,,,
1230,,,,,,,,
1241,,,,,,,,
1312,,,,,,,,
1607,,,,,,,,
1301,,,,,,,,
80453,1978,,,,,,,
22572,1998,,,,,,,
1582,,,,,,,,
106875,2007,,,,,,,
1547,,,,,,,,
68630,1975,,,,,,,1980
35592,2009,,,,,,,
1291,,,,,,,,
1605,,,,,,,,
1338,,,,,,,,
1778,,,,,,,,
2381,,,,,,,,
2289,,,,,,,,
2072,,,,,,,,
2188,,,,,,,,
77306,2015,,,,,,,
1906,,,,,,,,
2371,,,,,,,,
2152,,,,,,,,
38843,1996,,,,,,,
2006,,,,,,,,
47564,1996,,,,,,,
39648,1998,,,,,2004,,
2109,,,,,,,,
2026,,,,,,,,
1845,,,,,,,,
28391,2003,,,,,2010,,
2293,,,,,,,,
68417,2010,,2015,,,,,
2070,,,,,,,,
95929,2005,,,,,,,
2195,,,,,,,,
89974,1999,,,,,,,
2065,,,,,,,,
1964,,,,,,,,
2360,,,,,,,,
2321,,,,,,,,
20691,1987,,,,,,,
4651,1974,,,,,1979,,
61730,2000,,,,,2005,,
2162,,,,,,,,
2254,,,,,,,,
1952,,,,,,,,
1816,,,,,,,,
2217,,,,,,,,
1867,,,,,,,,
1983,,,,,,,,
57856,2005,,,,,,,
2045,,,,,,,,
2080,,,,,,,,
1818,,,,,,,,
97943,2004,,,,,,2009,
2192,,,,,,,,
1995,,,,,,,,
2190,,,,,,,,
94576,2021,,,,,,,
2038,,,,,,,,
10229,2010,,2025,,,,,
2156,,,,,,,,
2075,,,,,,,,
2154,,,,,,,,
2290,,,,,,,,
68030,1998,,,,,,,
37959,1984,,,,,,,
2078,,,,,,,,
36070,1995,,,,,,,
1902,,,,,,,,
29124,,,,,,2011,,
2362,,,,,,,,
15936,1995,,,,,,,
1936,,,,,,,,
1899,,,,,,,,
2335,,,,,,,,
59072,1995,,2002,,,,,
87887,1999,,,,,,,
1881,,,,,,,,
2345,,,,,,,,
69916,2007,,2012,,,,,
2164,,,,,,,,
1950,,,,,,,,
2168,,,,,,,,
14794,2010,,,,,,,
57002,2001,,,,,,,
1856,,,,,,,,
2196,,,,,,,,
1851,,,,,,,,
84005,1995,,,,,,,
1864,,,,,,,,
1974,,,,,,,,
31476,2016,,,,,,,
1810,,,,,,,,
27309,2001,,,,,,,
15227,1972,,,,,1978,,
1852,,,,,,,,
2122,,,,,,,,
2274,,,,,,,,
2311,,,,,,,,
2309,,,,,,,,
2238,,,,,,,,
2120,,,,,,,,
38978,1962,,,,,,,
53980,2007,,,,,,,
1916,,,,,,,,
16452,1975,,,,,1985,,
1889,,,,,,,,
2206,,,,,,,,
2226,,,,,,,,
1961,,,,,,,,
30173,2001,,,,,,,
2104,,,,,,,,
2024,,,,,,,,
1813,,,,,,,,
1865,,,,,,,,
1930,,,,,,,,
1826,,,,,,,,
2198,2025,,,,,,,
2015,,,,,,,,
59873,2003,,,,,,,
2235,,,,,,,,
81036,2000,,,,,,,
1924,,,,,,,,
2316,,,,,,,,
1965,,,,,,,,
2344,,,,,,,,
32084,2012,,,,,,,
2257,,,,,,,,
2323,,,,,,,,
108467,1994,,,,,,,
111084,2006,,,,,,,
2268,,,,,,,,
2184,,,,,,,,
1978,,,,,,,,
505,1998,,,,,,,
1893,,,,,,,,
31752,2020,,,,,,,
1801,,,,,,,,
2059,,,,,,,,
2372,,,,,,,,
2176,,,,,,,,
1848,,,,,,,,
1926,,,,,,,,
22263,1988,,,,,,,
2086,,,,,,,,
2379,,,,,,,,
3138,1998,,,,,,,
2327,,,,,,,,
1896,,,,,,,,
68765,1994,,,,,,,
1915,,,,,,,,
2032,,,,,,,,
2145,,,,,,,,
3416,2002,,,,,,,
2061,,,,,,,,
2343,,,,,,,,
116269,2003,,,,,,,
2136,,,,,,,,
1953,,,,,,,,
52823,1981,,,,,,,
11745,2005,,,,,2008,,
1970,,,,,,,,
2236,,,,,,,,
1996,,,,,,,,
2375,,,,,,,,
2202,,,,,,,,
1806,,,,,,,,
1829,,,,,,,,
2160,,,,,,,,
1885,,,,,,,,
1875,,,,,,,,
2083,,,,,,,,
2261,,,,,,,,
2772,,,,,,,,
89980,,,,,,2016,,
2979,,,,,,,,
18259,2009,,,,,,,
2612,,,,,,,,
94684,,,,,,1987,,
75198,1988,,,,,2007,,
13887,1979,,,,,,,
2605,,,,,,,,
2895,,,,,,,,
30370,2001,,,,,,,
2964,,,,,,,,
2783,,,,,,,,
2861,,,,,,,,
3017,,,,,,,,
2440,,,,,,,,
2396,,,,,,,,
2517,,,,,,,,
2782,,,,,,,,
2969,,,,,,,,
2666,,,,,,,,
16880,,,,,,2009,,
108797,1991,,,,,,,
3013,,,,,,,,
2847,,,,,,,,
98858,2004,,,,,,,
2649,,,,,,,,
2627,,,,,,,,
2636,,,,,,,,
2479,,,,,,,,
2697,,,,,,,,
56291,2008,,,2015,,,,
68248,2007,,2013,,,,,
2694,,,,,,,,
109564,2008,,,,,,,
87167,1975,,,,,,,
74303,2013,,,,,,,
2464,,,,,,,,
3004,,,,,,,,
2991,,,,,,,,
88185,2000,,,,,,,
2794,,,,,,,,
2437,,,,,,,,
2747,,,,,,,,
86663,2000,,,,,,,
2559,,,,,,,,
76994,2009,,,,,2012,,
2852,,,,,,,,
2793,,,,,,,,
113481,2012,,,,,,,
2736,,,,,,,,
2671,,,,,,,,
78697,1986,,,,,,,
12307,1974,,,,,,,
2397,,,,,,,,
3000,,,,,,,,
2930,,,,,,,,
2390,,,,,,,,
2552,,,,,,,,
2768,,,,,,,,
2473,,,,,,,,
102423,2019,,,,,,,
2826,,,,,,,,
59028,2012,,,,,,2015,
2532,,,,,,,,
2539,,,,,,,,
2406,,,,,,,,
2425,,,,,,,,
84492,1969,,,,,,,
33210,2005,,,,,,,
11106,2001,,,,,,2015,
2404,,,,,,,,
2701,,,,,,,,
2629,,,,,,,,
2989,,,,,,,,
2550,,,,,,,,
2959,,,,,,,,
2825,,,,,,,,
2813,,,,,,,,
79076,1992,,,,,2003,,
2393,,,,,,,,
25600,1982,,,,,,,
2820,,,,,,,,
60089,2005,,,,,,,
98067,1999,,,,,,,
2661,,,,,,,,
2593,,,,,,,,
54766,,2008,,,,,,
2978,,,,,,,,
2578,,,,,,,,
2805,,,,,,,,
2953,,,,,,,,
2911,,,,,,,,
2655,,,,,,,,
2687,,,,,,,,
2834,,,,,,,,
2499,,,,,,,,
5787,1991,,,,,,,
2577,,,,,,,,
18070,2004,,,,,,,
3009,,,,,,,,
47058,2003,,,,,2008,,
65361,,,,,,2006,,
2456,,,,,,,,
59544,2003,,,,,,2016,
2432,,,,,,,,
38505,1994,,,,,2002,,
110473,2005,,,,,2011,,
2859,,,,,,,,
2608,,,,,,,,
2828,,,,,,,,
2999,,,,,,,,
2968,,,,,,,,
2719,,,,,,,,
2476,,,,,,,,
2753,,,,,,,,
117326,2010,2016,,,,,,
2639,,,,,,,,
2976,,,,,,,,
2960,,,,,,,,
2769,,,,,,,,
34372,1996,,,,,,,
2871,,,,,,,,
2422,,,,,,,,
2998,,,,,,,,
2740,,,,,,,,
2931,,,,,,,,
53229,2009,,,,,,,
2971,,,,,,,,
2492,,,,,,,,
2633,,,,,,,,
2830,,,,,,,,
114895,2001,,,,,2009,,
2876,,,,,,,,
60408,1998,,,,,,,
2454,,,,,,,,
2816,,,,,,,,
2916,,,,,,,,
2547,,,,,,,,
2878,,,,,,,,
20989,2007,,,,,,,
76825,2018,,,,,,,
2672,,,,,,,,
2478,,,,,,,,
2485,,,,,,,,
45687,2022,,,,,,,
2528,,,,,,,,
5722,2006,,,,,,,
2638,,,,,,,,
2985,,,,,,,,
99510,2013,,,,,,,
110489,1963,,,,,,,
2460,,,,,,,,
2705,,,,,,,,
98189,,,,,,2013,,
2943,,,,,,,,
101044,2021,,,,,,,
30741,1978,,1983,,,,,
3079,,,,,,,,
9160,1989,,,,,,,
3487,,,,,,,,
3258,,,,,,,,
3348,,,,,,,,
73003,1985,,,,,1991,,
3159,,,,,,,,
56161,1987,,,,,,,1993
45086,2006,,,,,,,
82332,1996,,,,,2007,,
3408,,,,,,,,
69999,1997,,,,,,,
90194,2003,,,,,,,
22076,1996,,,,,2001,,
3044,,,,,,,,
3099,,,,,,,,
119901,2023,,,,,,,
82909,2010,,2015,,,,,
3442,,,,,,,,
3223,,,,,,,,
100650,1981,,,,,1986,,
3321,,,,,,,,
3274,,,,,,,,
68557,,,,2014,,,,
3308,,,,,,,,
3430,,,,,,,,
3243,,,,,,,,
3505,,,,,,,,
3104,,,,,,,,
113471,2022,,,,,,,
3553,,,,,,,,
3514,,,,,,,,
3462,,,,,,,,
3286,,,,,,,,
3550,,,,,,,,
3452,,,,,,,,
3176,,,,,,,,
3407,,,,,,,,
81441,1991,,,,,,,
3406,,,,,,,,
29667,,,,,,2009,,
3240,,,,,,,,
112603,2003,,,,,2007,,
3136,,,,,,,,
3280,,,,,,,,
3343,,,,,,,,
69294,1999,,,,,,,
3052,,,,,,,,
23442,1999,,,,,,,
3121,,,,,,,,
3185,,,,,,,,
3509,,,,,,,,
3283,,,,,,,,
3120,,,,,,,,
3403,,,,,,,,
3323,,,,,,,,
3236,,,,,,,,
3422,,,,,,,,
3466,,,,,,,,
45043,2004,,2011,,,,,
37789,2012,,,,,,,
3116,,,,,,,,
3346,,,,,,,,
3247,,,,,,,,
3254,,,,,,,,
24804,2004,,,,,,,
13608,2009,,,,,2012,,
3210,,,,,,,,
3369,,,,,,,,
3224,,,,,,,,
109232,2016,,,,,,,
16648,1976,,,,,,,
3434,,,,,,,,
3038,,,,,,,,
3122,,,,,,,,
3453,,,,,,,,
3211,,,,,,,,
44500,1961,,,,,,,
3266,,,,,,,,
3203,,,,,,,,
3175,,,,,,,,
3089,,,,,,,,
35063,1971,,,,,,,
3134,,,,,,,,
3526,,,,,,,,
3364,,,,,,,,
3294,,,,,,,,
100359,2006,,,,,,,
3455,,,,,,,,
3372,,,,,,,,
68842,1997,,,,,2002,,
3061,,,,,,,,
97496,2010,,,,,,,
3409,,,,,,,,
2798,1967,,,,,,,
3492,,,,,,,,
3218,,,,,,,,
3469,,,,,,,,
57724,2001,,,,,,,
3083,,,,,,,,
3172,,,,,,,,
3263,,,,,,,,
3043,,,,,,,,
3435,,,,,,,,
3047,,,,,,,,
3386,,,,,,,,
7077,2020,,,,,,,
3216,,,,,,,,
3544,,,,,,,,
22363,2003,,,,,2008,,
3392,,,,,,,,
3341,,,,,,,,
67422,1987,,,,,1993,,
3179,,,,,,,,
59505,1996,,,,,,,
3115,,,,,,,,
3164,,,,,,,,
33821,2001,,,,,,,
41278,2007,,2012,,,,,
18478,2000,,,,,,,
36276,1995,,,,,,,
3563,,,,,,,,
3071,,,,,,,,
3672,,,,,,,,
3888,,,,,,,,
20653,2004,,,,,,,
84193,,,,,,2007,,
3617,,,,,,,,
3923,,,,,,,,
57325,2001,,,,,2006,,
3819,,,,,,,,
3863,,,,,,,,
3585,,,,,,,,
53604,1975,,,,,,,
4003,,,,,,,,
3874,,,,,,,,
2275,2019,,,,,,,
56768,1983,,,,,,,
55482,2004,,,,,,,
3664,,,,,,,,
4083,,,,,,,,
92538,2002,,,,,,,
3845,,,,,,,,
4020,,,,,,,,
4128,,,,,,,,
3958,,,,,,,,
62735,1999,,,,,,,
3926,,,,,,,,
4057,,,,,,,,
85690,1998,,,,,,2007,
78229,2018,,,,,,,
52310,2002,,,,,,,
4060,,,,,,,,
3612,,,,,,,,
3993,,,,,,,,
3580,,,,,,,,
3831,,,,,,,,
4082,,,,,,,,
3984,,,,,,,,
4080,,,,,,,,
3764,,,,,,,,
29060,2003,,,,,2008,,
3793,,,,,,,,
110029,1989,,,,,,,
3721,,,,,,,,
4141,,,,,,,,
11865,2019,,,,,,,
3731,,,,,,,,
18427,2008,,,,,,2016,
3586,,,,,,,,
3901,,,,,,,,
3772,,,,,,,,
50751,2007,,,,,,,
3816,,,,,,,,
3794,,,,,,,,
3870,,,,,,,,
4131,,,,,,,,
34753,1992,,,,,,,
35753,2022,,,,,,,
3994,,,,,,,,
4126,,,,,,,,
3575,,,,,,,,
3943,,,,,,,,
3822,,,,,,,,
3732,,,,,,,,
66680,2007,,,,,,,
92279,,,1993,,,,,
3878,,,,,,,,
74158,,,,,,,,2011
88091,1996,,,,,2001,,
32149,2020,,,,,,,
4063,,,,,,,,
3754,,,,,,,,
15650,2012,,,,,,,
109356,1981,,,,,,,
3769,,,,,,,,
4144,,,,,,,,
3734,,,,,,,,
102795,1993,,,,,,,
46255,,,,,,2011,,
3770,,,,,,,,
11138,1998,,,,,2006,,
3848,,,,,,,,
69486,2009,,,,,,,
3781,,,,,,,,
28051,2012,,,,,,2016,
59557,2004,,,,,2012,,
3776,,,,,,,,
36349,2008,,,,,,,
3639,,,,,,,,
3795,,,,,,,,
3623,,,,,,,,
3702,,,,,,,,
91697,1995,,,,,,,
101201,2004,,,,,2009,,
3768,,,,,,,,
4012,,,,,,,,
119633,1998,,,,,,,
3953,,,,,,,,
5823,2012,,,,,,,
4054,,,,,,,,
3954,,,,,,,,
3930,,,,,,,,
3669,,,,,,,,
40453,2016,,,,,,,
24980,2005,,2006,,,,,
4118,,,,,,,,
108707,2003,,,,,,,
3654,,,,,,,,
20785,1999,,,,,,,
3807,,,,,,,,
3904,,,,,,,,
4056,,,,,,,,
50527,2008,,2014,,,,,
3773,,,,,,,,
3742,,,,,,,,
4010,,,,,,,,
3737,,,,,,,,
3867,,,,,,,,
18103,1982,,,,,,,
3705,,,,,,,,
17671,1995,,,,,,,
4001,,,,,,,,
4124,,,,,,,,
3829,,,,,,,,
94283,2012,,,,,,,
3708,,,,,,,,
3755,,,,,,,,
113,1997,,,,,,,
4098,,,,,,,,
4137,,,,,,,,
3887,,,,,,,,
4065,,,,,,,,
3633,,,,,,,,
3881,,,,,,,,
3638,,,,,,,,
3840,,,,,,,,
3697,,,,,,,,
3871,,,,,,,,
4099,,,,,,,,
4045,,,,,,,,
33372,2006,,,,,2011,,
3691,,,,,,,,
4034,,,,,,,,
40367,2014,,,,,,,
3935,,,,,,,,
3808,,,,,,,,
3715,,,,,,,,
3577,,,,,,,,
25967,1996,,,,,,,
94590,2002,,,,,,,
3803,,,,,,,,
57157,,,,,,1998,,
10909,2015,,,,,,,
38634,2005,,,,,2011,,
4589,,,,,,,,
4635,,,,,,,,
4247,,,,,,,,
4489,,,,,,,,
24502,1989,,,,,,,
86458,2001,,,,,,,
4490,,,,,,,,
21004,2006,,2011,,,,,
63305,1994,,,,,,2002,
4188,,,,,,,,
86161,,,,,,,,2018
4179,,,,,,,,
4678,,,,,,,,
29368,2010,,,,,,,
4738,,,,,,,,
4181,,,,,,,,
4241,,,,,,,,
4174,,,,,,,,
4532,,,,,,,,
55733,2006,,,2011,,,,
4737,,,,,,,,
4696,,,,,,,,
66751,2000,,,,,,,
18909,1989,,,,,,,
4401,,,,,,,,
4204,,,,,,,,
4582,,,,,,,,
4278,,,,,,,,
4235,,,,,,,,
4571,,,,,,,,
4291,,,,,,,,
4691,,,,,,,,
4343,,,,,,,,
4389,,,,,,,,
41306,1999,,,,,,,
98101,1998,,,,,,,
21040,2005,,,,,,,
4219,,,,,,,,
4630,,,,,,,,
117894,2018,,,,,,,
4474,,,,,,,,
102004,2009,,,,,,,
4160,,,,,,,,
4334,,,,,,,,
4305,,,,,,,,
4397,,,,,,,,
4302,,,,,,,,
4320,,,,,,,,
4328,,,,,,,,
27480,1999,,,,,,,
56774,2005,,,,,,,
4504,,,,,,,,
4653,,,,,,,,
4695,,,,,,,,
4722,,,,,,,,
4621,,,,,,,,
77157,2010,,,,,,,
50057,1993,,,,,,,
4554,,,,,,,,
27461,1988,,,,,,,
4155,,,,,,,,
4347,,,,,,,,
4166,,,,,,,,
4734,,,,,,,,
4541,,,,,,,,
4661,,,,,,,,
4280,,,,,,,,
4577,,,,,,,,
4720,,,,,,,,
4580,,,,,,,,
4607,,,,,,,,
41883,1985,,,,,1990,,
4191,,,,,,,,
4237,,,,,,,,
4380,,,,,,,,
4648,,,,,,,,
4177,,,,,,,,
40922,2006,,,,,,,
86163,1994,,,,,,,
4326,,,,,,,,
4183,,,,,,,,
4148,,,,,,,,
101146,1994,,,,,,,
4559,,,,,,,,
105261,,,,,,1989,,
4745,,,,,,,,
4387,,,,,,,,
68221,2005,,2012,,,,,
99746,2005,,2010,,,,,
4381,,,,,,,,
4355,,,,,,,,
4575,,,,,,,,
4349,,,,,,,,
119573,1995,,,,,,,
31093,2013,,,,,,,
19905,1975,,,,,,,
83404,2004,,,,,,2016,
4421,,,,,,,,
4358,,,,,,,,
4566,,,,,,,,
4514,,,,,,,,
4163,,,,,,,,
4640,,,,,,,,
39726,2012,,,,,,,
4543,,,,,,,,
4329,,,,,,,,
36858,2021,,,,,,,
4386,,,,,,,,
4327,,,,,,,,
4185,,,,,,,,
96613,2002,,,,,,,
4484,,,,,,,,
4697,,,,,,,,
4400,,,,,,,,
4622,,,,,,,,
112470,2014,,,,,,,
4275,,,,,,,,
4615,,,,,,,,
55611,2007,,,2014,,,,
4728,,,,,,,,
119341,,,2011,,,,,
4677,,,,,,,,
55152,2004,,2010,,,,,
4186,,,,,,,,
4709,,,,,,,,
30646,2013,,,,,,,
4214,,,,,,,,
4424,,,,,,,,
4453,,,,,,,,
4507,,,,,,,,
4391,,,,,,,,
4156,,,,,,,,
4172,,,,,,,,
4669,,,,,,,,
4377,,,,,,,,
81025,2003,,,,,2009,,
43808,2024,,,,,,,
5218,,,,,,,,
4836,,,,,,,,
