uid,age,registered_year
115242,38,2009
16174,40,2012
67700,26,2015
54551,44,2015
68296,40,2010
99643,29,2020
2390,47,2017
89375,33,2009
5364,25,2011
7787,21,2011
27042,21,2020
76064,31,2010
94918,62,2011
94919,16,2018
36653,25,2018
24683,53,2018
59361,34,2018
28257,47,2017
7151,20,2015
115243,23,2015
5,38,2013
94286,47,2011
9582,51,2021
36654,33,2012
82104,51,2009
1806,21,2015
10806,34,2012
37834,20,2020
59363,23,2011
22883,47,2014
67701,18,2017
49285,26,2014
112387,53,2013
44448,31,2010
54552,57,2015
69558,36,2009
9005,40,2014
99034,26,2010
117083,25,2015
3569,43,2012
44449,38,2010
3024,34,2008
83348,17,2017
14356,17,2018
22886,21,2020
105725,26,2012
49286,22,2017
52192,22,2013
52193,19,2014
28259,26,2010
17958,39,2016
76065,36,2016
75447,29,2009
60558,23,2019
2393,34,2013
22887,38,2011
46934,28,2014
108752,44,2017
50502,19,2014
111805,43,2011
9006,31,2014
57541,24,2013
83349,57,2013
64756,55,2012
15592,45,2014
1178,34,2012
46935,24,2015
107510,33,2016
113533,51,2010
107511,41,2013
53985,20,2017
103265,51,2021
73688,20,2015
30568,37,2017
40250,44,2017
6544,24,2010
80309,30,2015
25268,14,2018
49287,37,2013
91210,23,2021
108146,31,2018
99645,32,2008
60559,48,2017
90000,34,2015
22277,29,2019
92415,34,2010
114669,66,2020
36656,34,2007
54554,15,2020
68932,28,2011
37239,39,2010
62989,30,2008
92416,34,2019
67702,53,2012
40251,22,2018
36658,32,2010
89379,37,2010
117085,45,2008
116501,51,2013
12580,29,2016
19770,47,2012
61163,36,2020
44450,23,2019
34293,48,2014
45723,39,2020
21036,47,2021
102715,21,2017
44451,20,2008
40252,30,2011
85178,34,2016
106320,25,2011
13158,67,2018
72465,39,2012
105726,26,2009
39015,18,2012
116502,39,2011
36659,36,2020
89380,44,2015
9008,30,2018
58168,15,2014
98505,63,2013
16180,34,2009
108753,19,2015
43251,47,2012
77248,31,2011
101464,32,2015
33043,19,2020
80310,21,2018
100226,23,2012
17960,17,2016
13764,17,2021
112391,17,2021
91212,63,2021
9586,35,2010
53369,46,2020
62991,37,2007
73083,31,2018
4151,28,2008
33044,24,2016
59365,40,2013
2396,53,2019
91804,19,2015
91805,19,2012
112990,15,2020
64158,35,2020
92417,21,2011
28833,27,2013
105125,67,2017
80311,31,2008
94288,36,2010
118269,16,2019
44452,25,2010
53370,44,2010
16181,45,2012
46940,46,2015
14358,44,2018
109933,27,2014
114670,51,2018
6547,59,2010
57544,38,2019
102091,39,2014
73689,15,2014
102717,39,2011
65342,16,2019
104502,16,2018
24685,38,2009
17337,15,2019
7154,35,2020
74270,31,2018
118270,48,2011
52763,29,2015
39628,26,2019
76660,34,2020
8,29,2010
100227,38,2014
61165,34,2011
87572,31,2009
55144,30,2008
6548,20,2012
15595,55,2007
22891,42,2010
71885,47,2015
93692,24,2012
102092,27,2013
106913,19,2015
67705,50,2021
37240,16,2021
21657,19,2016
80312,41,2020
115247,24,2016
47536,29,2009
55739,43,2014
68935,30,2017
31170,26,2013
94923,40,2015
48111,29,2013
59367,20,2020
27656,31,2021
34294,50,2010
50504,33,2012
19775,33,2011
93693,46,2021
56972,19,2013
22278,17,2020
89383,35,2010
44453,37,2012
86400,31,2010
13161,28,2014
114671,31,2015
37242,34,2009
86401,22,2015
62993,14,2021
585,33,2011
13162,34,2010
75454,52,2019
71887,32,2010
117088,60,2012
17339,43,2014
74271,36,2008
91806,43,2016
10202,17,2018
51041,32,2016
4153,30,2010
53372,43,2021
36661,35,2014
113535,42,2019
8408,22,2012
29943,16,2019
109378,40,2008
31812,34,2011
44455,57,2020
115861,32,2017
63604,35,2011
85180,41,2011
1179,21,2011
6549,18,2011
75458,16,2021
34296,31,2015
76070,18,2012
100876,33,2009
32443,40,2009
92420,65,2011
34891,48,2007
106323,68,2012
115250,54,2011
46336,57,2021
41466,46,2011
36662,28,2009
7792,40,2011
26442,20,2016
97898,58,2011
28835,41,2012
56976,26,2021
2397,65,2020
118896,25,2009
45092,19,2012
31813,42,2015
61168,35,2011
118274,33,2011
34893,61,2021
64758,20,2018
45725,39,2020
91215,33,2008
90627,45,2011
65942,38,2009
97325,38,2014
68938,24,2013
97326,34,2010
4155,45,2010
3575,32,2010
13164,46,2009
1181,38,2012
112992,48,2020
77859,33,2011
83929,38,2009
108149,47,2017
73085,19,2013
70734,20,2011
102094,56,2016
4753,38,2016
9588,48,2019
48700,32,2015
5964,49,2021
71890,22,2011
58170,51,2013
21040,31,2009
10,15,2013
1810,36,2008
96680,37,2010
54559,43,2013
85793,21,2019
58171,46,2013
15596,48,2012
79686,33,2010
58773,32,2008
115251,37,2016
79687,34,2012
24689,27,2011
108150,19,2014
42069,57,2012
83353,31,2016
39019,38,2008
80911,18,2016
73087,15,2020
46942,46,2016
77860,15,2014
16761,55,2013
95498,20,2015
90630,39,2010
52765,22,2012
68302,45,2020
64759,47,2009
25272,23,2011
39020,32,2010
39021,30,2019
60001,24,2011
29945,32,2014
4156,33,2018
25870,17,2016
91217,15,2020
36078,24,2009
8413,41,2009
16763,59,2018
45726,32,2014
51633,16,2014
52766,17,2011
88202,38,2009
77861,31,2015
118900,43,2013
53994,21,2019
12584,15,2019
41468,54,2010
86988,21,2015
27050,31,2011
107515,17,2018
11415,39,2011
66519,19,2012
113539,46,2020
10206,49,2018
71892,26,2010
84538,42,2010
55747,33,2009
78453,64,2011
40256,44,2012
39023,47,2019
21658,29,2016
52199,39,2021
61171,54,2011
89385,28,2008
117695,37,2020
96682,48,2008
119490,45,2016
93043,35,2014
97900,21,2018
53377,40,2014
100878,26,2011
31174,43,2013
51047,30,2010
62389,47,2018
6552,21,2013
108152,15,2016
62390,32,2009
74867,44,2012
60004,18,2015
74868,49,2012
117091,39,2019
79112,39,2015
15597,42,2016
11980,20,2014
99037,38,2013
10817,43,2013
45727,40,2016
90005,43,2017
45729,48,2016
61172,15,2015
113540,55,2018
103267,36,2021
112397,31,2010
50506,41,2013
77862,34,2011
40257,51,2011
42645,40,2019
35496,17,2016
9012,61,2018
118902,27,2011
79688,34,2020
68304,45,2020
24691,57,2012
99653,33,2019
44457,68,2018
51637,55,2017
112994,15,2020
15005,21,2017
83356,33,2014
36079,35,2007
39025,43,2016
46943,38,2018
68305,16,2013
21043,50,2014
25872,44,2009
49913,35,2012
44458,40,2013
9590,72,2014
90634,46,2018
59371,47,2015
37246,50,2013
43819,40,2007
42071,35,2008
31817,22,2018
28264,41,2008
36080,57,2011
82719,41,2014
78455,38,2016
12585,16,2019
68939,20,2015
64760,16,2019
119491,28,2015
63607,32,2011
8414,30,2017
90635,45,2019
108153,43,2020
7794,29,2014
13,41,2009
115863,22,2012
99038,60,2013
35497,16,2019
51639,35,2011
92426,33,2010
118278,55,2010
85181,25,2012
10209,17,2015
51640,23,2020
50508,38,2013
83357,35,2010
66523,33,2017
29946,46,2020
111812,38,2017
48703,15,2012
58775,34,2009
114680,45,2019
24056,41,2016
84541,29,2011
62392,20,2017
590,38,2011
37838,53,2011
56978,37,2008
115864,28,2020
66524,17,2014
100881,31,2021
27055,34,2009
21044,19,2013
22283,22,2015
28839,61,2013
55750,57,2011
52200,31,2020
71896,30,2013
3577,34,2019
83358,43,2011
39631,20,2012
21045,31,2017
32446,17,2011
24057,40,2009
90007,16,2019
15599,15,2017
5968,30,2011
71897,33,2020
56979,24,2014
84542,25,2010
10819,30,2011
117697,39,2018
119493,45,2013
11421,14,2021
86406,66,2021
1813,38,2010
35498,41,2013
21660,33,2011
61173,32,2011
88813,44,2011
14,39,2013
13168,46,2021
48705,21,2015
63001,30,2008
102100,36,2016
49292,42,2018
67708,72,2019
26447,39,2011
109943,23,2011
4756,44,2011
55152,34,2008
63611,28,2008
59373,39,2012
36082,19,2013
9013,39,2012
107518,26,2018
17966,30,2012
55752,76,2017
31176,17,2018
119495,34,2012
3580,47,2014
82111,46,2014
69565,15,2017
27661,44,2013
46341,21,2019
7162,47,2013
1186,70,2012
96070,43,2011
73696,45,2013
12588,16,2018
68942,25,2016
88815,32,2012
13769,24,2010
83359,15,2019
93046,35,2016
49294,33,2017
67138,60,2013
64169,29,2015
28841,19,2013
94296,33,2011
114089,23,2011
43254,33,2010
61174,42,2015
74274,18,2015
44461,34,2011
88816,48,2010
28268,17,2021
15,40,2012
83935,29,2013
86991,39,2013
76663,36,2019
36083,20,2014
115866,49,2015
103271,17,2010
100884,43,2010
76664,36,2009
96691,34,2010
96692,46,2019
115254,48,2017
33688,27,2010
68943,24,2011
21662,23,2010
25275,31,2007
74875,24,2013
117097,34,2009
13770,40,2011
74876,34,2011
35500,15,2015
40847,25,2015
57548,18,2017
22285,16,2018
93697,42,2013
94932,28,2020
76075,18,2018
84545,24,2019
16767,29,2011
117698,50,2013
117699,17,2012
119496,32,2020
37841,22,2020
49295,15,2015
35501,16,2016
73089,19,2012
66525,44,2020
2404,21,2021
90010,34,2010
99040,48,2012
9593,54,2016
94933,31,2008
68308,24,2011
89387,40,2009
13771,42,2021
85801,34,2010
7164,52,2011
64762,23,2014
7797,40,2017
40261,57,2021
42648,31,2021
4758,35,2012
97329,34,2008
92429,32,2010
53378,47,2018
8418,41,2019
27056,44,2009
71901,28,2009
56354,38,2011
68309,45,2018
53999,21,2012
50511,65,2017
91818,42,2020
92430,35,2008
38437,17,2010
14370,42,2014
32450,51,2021
14371,19,2013
79115,29,2012
15603,27,2015
5373,44,2020
116510,40,2009
75468,17,2020
3582,38,2008
75469,26,2017
103273,35,2008
31180,38,2010
97901,30,2008
105736,34,2011
29951,43,2012
80915,22,2020
115258,15,2020
117700,34,2018
55755,22,2011
74878,64,2018
5374,18,2014
119498,43,2011
86993,53,2019
74275,34,2007
68945,24,2010
100236,53,2009
83362,23,2015
41472,29,2017
19184,32,2014
33690,24,2014
108764,43,2015
88820,35,2008
113545,26,2015
5375,32,2011
34300,32,2009
51051,14,2021
30574,21,2010
29952,30,2019
80916,15,2015
22287,31,2011
27057,62,2008
103903,33,2012
101471,26,2013
60010,21,2013
37842,23,2020
15008,50,2012
74276,15,2020
1816,27,2020
37252,34,2018
63617,32,2016
72477,26,2010
9014,41,2020
30575,35,2020
110534,39,2010
52203,22,2015
54563,56,2019
19783,32,2015
64170,53,2012
20381,35,2010
93699,61,2011
73092,55,2019
88207,44,2014
2406,32,2008
13173,17,2016
25877,29,2008
12594,40,2016
72478,32,2009
119500,69,2013
6557,49,2011
18589,24,2011
100885,41,2018
97331,35,2017
87582,20,2012
33055,34,2009
117702,17,2013
30576,15,2018
13174,16,2013
82723,44,2015
117101,65,2009
97332,42,2010
85803,43,2015
42079,33,2009
71325,16,2020
94935,40,2020
46949,35,2015
81496,49,2011
83939,45,2013
37843,28,2021
77256,31,2020
9015,31,2011
13773,39,2013
87583,26,2010
51052,28,2011
71903,42,2018
46950,34,2012
115867,29,2010
9016,17,2019
117102,27,2009
109947,21,2012
65949,35,2015
8419,25,2011
85804,27,2009
39635,43,2016
20383,21,2011
46951,34,2009
38442,26,2016
75474,31,2017
93049,65,2011
36087,28,2010
102729,39,2010
23501,47,2018
4160,15,2020
53382,25,2016
117704,31,2017
51053,33,2019
94304,35,2009
24062,48,2010
4763,21,2019
16188,47,2009
54565,39,2009
30577,20,2012
62396,45,2015
37844,47,2013
39033,44,2020
2407,42,2012
73699,15,2019
76080,25,2014
71327,64,2012
93050,20,2013
40262,31,2010
15605,41,2011
91820,15,2020
118908,19,2019
68946,31,2008
43825,68,2017
100887,40,2016
54002,33,2011
73700,30,2015
99042,31,2018
36088,29,2010
25,24,2011
86997,49,2008
99661,53,2011
71328,40,2014
13176,25,2020
13775,17,2016
85191,38,2012
5973,34,2013
77870,36,2011
60012,22,2017
61803,48,2016
1818,38,2016
109382,30,2009
92434,41,2015
16774,47,2012
48123,40,2017
13777,33,2007
83941,35,2011
110536,42,2013
67714,31,2011
39034,61,2012
108156,42,2013
71906,51,2018
55759,23,2011
41474,49,2012
98512,16,2020
100237,27,2013
38443,22,2012
68947,18,2008
59378,36,2014
22901,28,2009
58176,27,2019
23503,35,2011
60013,49,2016
96073,18,2012
12597,31,2009
36089,32,2014
92435,38,2010
10217,37,2018
84551,48,2012
17971,40,2021
40263,24,2019
95502,37,2009
75475,48,2014
49918,27,2012
115264,33,2010
37847,17,2015
58778,18,2018
60014,65,2016
83942,50,2017
68313,45,2011
12598,47,2010
53385,23,2013
113548,63,2008
25880,29,2010
91823,42,2011
37254,34,2013
49919,25,2016
61804,51,2011
11989,40,2010
22292,33,2020
26,18,2019
31823,31,2019
59380,60,2010
1191,57,2018
91223,37,2013
3038,21,2020
36092,20,2011
12599,32,2019
10824,25,2021
79122,65,2012
32454,54,2017
82729,26,2019
17972,32,2012
86413,15,2020
43826,14,2021
81498,22,2016
41475,17,2014
42081,25,2013
28842,56,2011
85192,42,2014
62398,53,2016
99044,48,2016
86998,19,2013
80322,38,2012
41476,24,2010
49920,14,2021
4163,34,2016
58780,71,2011
96076,27,2013
11991,32,2012
106928,14,2021
102731,24,2013
25280,36,2016
76082,40,2011
24699,30,2011
9595,31,2011
28844,19,2017
52775,42,2012
99045,21,2015
83943,49,2008
19188,51,2012
21669,27,2010
69574,35,2008
39037,32,2009
68948,27,2010
4765,35,2017
17342,39,2017
70744,61,2021
28845,42,2011
118910,20,2015
17343,45,2015
74882,30,2010
93053,53,2009
63005,24,2014
36668,25,2009
37256,61,2015
3585,55,2020
67145,35,2009
4766,27,2015
58781,68,2020
100238,32,2015
62400,47,2014
61180,21,2021
9597,38,2016
11428,48,2014
88824,39,2011
7801,33,2010
11429,31,2014
16191,32,2009
118288,36,2017
56984,19,2021
119504,36,2011
20388,36,2017
77873,56,2018
81501,49,2013
83944,42,2016
104510,36,2009
21051,44,2011
596,31,2016
60568,41,2012
40852,16,2019
69576,22,2013
65950,27,2015
99663,41,2010
54567,49,2020
67146,60,2016
117707,31,2013
36093,33,2010
110539,31,2015
100241,50,2009
19189,33,2011
3042,35,2010
71331,22,2018
29387,35,2013
34902,25,2017
48126,38,2010
19788,60,2015
59382,34,2011
39639,37,2008
74280,53,2017
33060,41,2017
11993,52,2011
24063,22,2018
101475,44,2014
4166,16,2019
99047,41,2013
55761,32,2010
45740,32,2008
35508,20,2017
22904,32,2010
108159,20,2014
25284,30,2014
77260,30,2011
86416,41,2016
48710,17,2018
36669,66,2013
97904,35,2009
100242,39,2010
18591,36,2014
4768,20,2014
74282,33,2010
111180,38,2016
99664,17,2018
31825,35,2010
57553,67,2020
82734,60,2011
57554,21,2011
70746,52,2013
20390,40,2009
9599,29,2014
108773,39,2009
91826,25,2010
100244,41,2018
89393,35,2014
21054,33,2011
31826,22,2019
70747,39,2010
6559,29,2010
82735,45,2010
19191,25,2013
58787,49,2013
113551,38,2010
97905,16,2018
3586,30,2008
29958,23,2019
48128,34,2019
33062,30,2011
14379,36,2016
15015,41,2012
31827,15,2013
90016,34,2011
8422,29,2011
64763,34,2010
47544,58,2019
100245,53,2014
48712,14,2021
43832,50,2009
48131,54,2015
40853,26,2009
13181,48,2014
8423,18,2018
74283,15,2016
51647,32,2011
106929,14,2018
78465,30,2010
117710,42,2009
57556,14,2019
82116,37,2015
14380,33,2008
43833,26,2012
91827,31,2020
69579,39,2015
61806,38,2014
11997,35,2009
598,51,2012
2413,26,2010
67721,35,2015
29960,52,2020
16195,22,2011
64764,61,2020
104515,46,2010
22295,36,2008
52209,32,2010
106931,42,2013
83948,38,2018
88214,35,2007
67723,43,2018
36670,32,2011
73099,21,2011
79126,29,2010
95510,20,2015
9600,28,2011
51058,22,2019
6562,18,2014
102106,33,2019
49302,42,2016
80324,44,2008
70150,23,2017
40854,37,2011
69581,61,2020
5383,39,2014
21672,25,2011
70749,39,2013
28273,23,2010
8424,18,2017
74883,61,2013
57559,52,2015
19194,35,2008
54009,32,2012
96086,42,2011
50517,50,2017
51060,46,2013
61808,42,2012
58790,35,2010
28274,25,2010
116515,17,2016
75480,23,2018
80921,22,2018
64174,38,2009
29389,36,2021
72485,56,2016
66529,38,2019
70152,45,2009
107527,42,2021
3043,55,2014
105744,16,2018
37852,23,2014
88215,36,2009
49923,43,2017
114689,39,2011
40855,51,2014
27672,44,2018
7808,33,2010
48714,23,2013
92436,27,2010
92437,47,2012
35509,63,2014
50520,44,2015
64765,38,2015
24069,41,2007
84552,15,2018
91830,21,2012
81506,35,2020
29390,21,2018
19791,17,2014
102734,18,2011
10221,39,2019
71911,24,2011
89395,50,2015
41481,39,2012
97907,23,2018
106932,26,2014
118913,15,2015
47546,51,2020
91231,36,2009
60574,40,2016
50521,23,2010
114094,21,2013
99666,31,2016
3044,40,2012
84553,61,2021
89396,41,2010
97341,43,2015
35511,23,2019
80924,34,2018
104516,39,2014
74887,34,2018
107528,29,2008
52779,53,2017
9022,60,2014
43834,35,2011
81509,42,2018
61184,17,2014
42653,58,2013
82736,34,2010
74889,32,2010
24070,37,2012
38446,64,2016
94307,58,2012
42086,39,2011
52781,15,2020
53393,21,2015
56988,44,2012
37853,58,2010
44475,31,2011
6565,22,2011
38447,60,2011
87004,50,2020
22297,44,2011
110545,21,2020
27069,58,2010
79699,61,2016
37261,36,2011
108171,22,2021
63624,41,2021
28850,59,2018
119509,24,2010
68956,43,2014
74890,43,2010
20397,28,2010
34908,32,2009
46349,27,2009
82118,16,2020
91235,52,2017
29,26,2012
91236,24,2017
12000,45,2017
38448,48,2019
115268,16,2016
97908,28,2010
40271,33,2011
53394,47,2016
86421,25,2012
54012,37,2011
67726,21,2018
80927,22,2010
86422,22,2016
109385,43,2008
117108,67,2013
8427,25,2010
26461,34,2020
10222,31,2021
27674,30,2011
41482,31,2010
116518,63,2014
89397,36,2009
99051,46,2017
12001,38,2017
85197,24,2011
77879,19,2018
81511,49,2018
7810,27,2010
37262,36,2013
6567,34,2011
45106,68,2014
103909,61,2021
105142,34,2008
13783,23,2018
111184,49,2015
86424,24,2011
24073,31,2010
33066,34,2010
74285,59,2018
45107,46,2010
4170,37,2008
100248,16,2014
84555,22,2016
52785,14,2015
67727,34,2012
47548,26,2017
30580,37,2011
16196,25,2011
45108,17,2018
66534,38,2015
10224,34,2011
9604,64,2021
55766,36,2010
110548,50,2012
16778,33,2014
8429,21,2013
96700,37,2009
48136,51,2018
39043,46,2021
54572,31,2011
22301,67,2014
63017,25,2015
60020,38,2012
71917,35,2013
57564,49,2016
75485,60,2015
13186,19,2017
38449,46,2020
89398,69,2016
9024,34,2020
56990,25,2012
66535,25,2011
39044,41,2014
107531,30,2011
87591,48,2015
1199,28,2013
96090,14,2021
37854,22,2019
94938,32,2008
36098,47,2021
6568,34,2012
29964,39,2011
29965,31,2012
65957,37,2012
58795,33,2020
32,34,2020
22911,21,2019
59386,29,2011
24074,44,2012
36677,50,2009
91833,44,2014
79701,21,2016
40275,30,2012
101480,32,2020
83951,36,2012
63018,27,2011
35512,35,2011
82738,36,2012
70153,36,2017
29392,65,2012
93060,50,2017
68958,30,2009
21676,38,2010
20399,50,2009
31832,34,2014
93704,37,2010
100899,44,2017
90646,17,2021
48717,34,2020
96092,50,2013
55164,41,2016
117110,33,2008
80328,15,2018
81517,37,2010
76671,48,2010
10226,43,2008
70752,34,2009
36099,26,2011
91242,22,2017
43267,30,2012
64178,56,2013
36100,24,2019
67152,46,2017
117111,21,2013
41485,41,2015
46960,41,2017
21061,34,2015
85810,24,2013
77881,41,2016
13188,63,2012
56991,34,2010
99053,48,2013
80330,32,2010
47550,19,2014
91834,38,2011
40278,33,2012
97911,60,2020
117714,30,2013
24703,48,2015
21680,47,2020
2419,35,2013
10834,30,2021
88219,27,2009
9025,42,2016
9026,50,2020
105147,37,2011
36102,32,2010
58796,22,2016
49927,24,2009
70155,55,2012
33069,41,2011
71336,63,2016
41486,36,2008
117112,18,2016
118299,41,2011
90649,67,2012
48138,33,2018
73105,30,2011
71337,27,2011
21062,17,2013
21063,35,2008
9027,24,2010
62408,24,2015
9607,33,2009
117113,21,2012
111188,31,2011
34311,42,2010
10229,31,2008
18596,29,2009
64179,61,2017
114694,20,2013
73106,67,2011
110550,33,2013
114102,14,2019
54016,53,2017
96701,35,2009
106934,22,2017
60582,44,2015
96702,27,2018
46354,35,2012
29394,38,2014
5980,27,2009
77882,55,2008
74289,16,2018
28853,53,2016
100255,20,2015
72488,39,2013
19201,24,2020
28278,38,2013
100256,15,2020
53397,23,2016
23511,53,2009
96703,48,2016
102117,32,2008
86430,61,2014
39645,20,2014
99672,17,2018
19795,38,2008
106935,41,2013
107532,53,2010
111829,24,2011
112407,29,2012
45744,40,2012
106335,70,2010
87594,65,2020
45109,31,2009
39048,50,2020
56993,48,2018
99673,21,2019
56364,28,2010
1201,14,2021
93061,65,2012
100902,37,2017
99055,27,2016
114696,41,2011
102118,19,2015
59388,24,2013
48723,36,2013
19203,21,2012
26464,26,2010
3047,47,2017
58181,28,2018
67153,47,2010
45746,19,2018
80932,66,2010
115880,27,2008
114103,33,2013
40858,32,2010
39050,48,2017
39648,40,2009
88222,39,2010
106936,14,2021
48141,34,2019
15611,28,2008
118923,42,2013
104521,38,2015
52216,22,2013
60023,31,2009
77883,33,2011
111830,57,2017
103912,59,2015
78474,41,2017
74290,45,2010
49310,18,2013
12006,31,2010
39650,46,2016
20402,47,2019
77884,54,2015
115881,21,2014
55771,30,2017
108777,47,2012
6571,42,2016
70754,25,2021
33071,22,2018
19204,18,2014
64180,44,2009
100904,59,2010
89400,31,2010
36,14,2021
97915,35,2016
115882,36,2013
1826,15,2021
22306,27,2018
21681,30,2011
43271,73,2014
55772,18,2014
48725,16,2020
118925,32,2010
11436,35,2011
71343,44,2014
14389,36,2011
114699,16,2019
104522,15,2020
50524,29,2012
86432,32,2010
19796,28,2011
68322,36,2011
46357,33,2017
29973,49,2012
48143,31,2008
4172,18,2016
52791,45,2018
105149,36,2013
91246,21,2014
77268,23,2020
42092,39,2014
49929,29,2010
118926,38,2010
72489,54,2011
71344,37,2009
91247,15,2020
21068,33,2009
113559,44,2011
118301,37,2012
85210,33,2010
9610,32,2010
118927,46,2015
46965,41,2013
99675,43,2020
19797,65,2012
37270,35,2017
99676,35,2009
29974,35,2009
111831,28,2011
37,36,2009
5984,28,2010
42658,31,2011
606,62,2011
5985,47,2008
83952,34,2020
68961,29,2012
57568,26,2020
105754,35,2010
72490,31,2008
102120,33,2018
12007,31,2011
39653,30,2016
50526,66,2016
4174,15,2017
60586,39,2020
91248,33,2010
4175,57,2010
78475,55,2016
94309,33,2008
55774,47,2013
102122,39,2014
96706,51,2018
33704,24,2010
113001,52,2020
36106,45,2020
17355,23,2011
83373,45,2010
27075,17,2013
114700,39,2011
50527,30,2009
25294,33,2013
36107,32,2009
69591,47,2013
99677,18,2020
5389,19,2014
100257,25,2021
106337,46,2013
78476,60,2018
82124,23,2020
63633,35,2019
1829,51,2014
89401,19,2013
94310,18,2021
62418,17,2017
35515,33,2020
25889,32,2008
91251,24,2020
7178,39,2011
608,44,2013
14391,24,2018
68325,36,2011
58800,45,2013
93708,46,2012
102738,38,2013
85211,20,2019
54574,35,2011
57570,18,2020
62419,44,2012
33707,24,2012
83953,21,2013
93062,45,2012
16204,34,2010
73114,22,2014
31192,34,2013
9031,55,2010
48145,23,2013
38457,41,2017
36108,54,2017
115884,14,2015
106938,53,2012
88832,71,2015
2422,40,2011
13190,34,2008
13191,33,2013
49930,38,2016
71346,38,2009
21069,14,2021
67155,53,2021
112411,64,2016
30588,53,2020
80335,34,2016
113561,40,2009
10232,54,2018
7180,44,2011
107538,36,2013
113003,52,2015
31193,41,2010
59390,35,2010
39655,47,2017
76675,47,2010
1206,25,2010
67729,56,2018
109957,20,2014
108178,31,2011
35516,48,2018
16783,23,2018
24706,36,2019
80336,39,2021
93710,17,2018
61197,35,2012
118930,34,2011
54577,20,2015
45750,49,2012
80337,48,2009
32464,44,2011
111192,38,2011
88224,34,2015
26466,41,2017
96707,31,2009
59391,30,2020
83375,32,2010
113562,48,2011
49932,31,2018
39053,32,2012
97916,18,2020
92445,35,2011
73115,37,2016
80936,21,2010
68327,31,2010
67730,45,2018
21072,21,2020
76676,29,2012
113563,55,2018
54578,17,2015
34919,54,2013
99679,59,2013
82743,40,2012
71923,31,2018
1207,51,2019
55166,34,2012
15613,56,2010
44481,68,2014
19800,47,2018
25298,45,2020
45116,36,2012
79707,32,2009
85212,47,2011
115885,33,2010
117120,14,2021
115886,24,2010
4777,16,2016
3052,40,2015
7182,21,2016
94940,45,2012
6574,32,2009
4176,42,2013
36109,34,2018
98523,32,2009
17981,16,2018
105757,43,2010
36685,53,2014
64181,19,2013
109961,32,2009
99683,16,2019
73116,27,2010
32466,21,2012
67731,27,2008
49311,70,2012
